Country.Region,Cases,Deaths,medianHouseholdIncome,medianPerCapitaIncome,pop2020,Pop. Proportion Female,Per Capita Spending on Health,Total Tests,US$ GDP/Capita,% Urban Pop.,People 65 and Over (Millions),Median Age,International Inbound Tourists(thousands),Import/Export (% of GDP),R&D Expenditure (% of GDP),smoking prevalence (% of adults),pop2020(in million),deaths per mil,cases per million,tests per million,dpc
Estonia,1666,50,12577,5031,1326.535,53.14546857,1112,52741,23523,68.9,0.259641,42.424,3245,146.9634,1.28129,31.3,1.326535,37.69218302,1255.903538,39758.46849,30012.005
Belarus,13181,84,15085,5236,9449.323,53.46624719,352,176625,6603,78.6,1.403255,40.335,11060.2,139.3435,0.58716,26.7,9.449323,8.889525736,1394.914747,18691.81528,6372.809
Malaysia,5945,100,11207,2267,32365.999,48.37674988,386,160296,11136,76,2.103473,30.262,25948,132.2554,1.30069,21.5,32.365999,3.089662086,183.680411,4952.604738,16820.858
Cyprus,843,15,18242,4932,1207.359,49.94014646,1563,58109,27719,66.8,0.163156,37.25,3652,130.2879,0.50167,36.4,1.207359,12.42381098,698.218177,48129.01548,17793.594
Bulgaria,1447,64,8487,2829,6948.445,51.38879851,572,45208,9518,75,1.482383,44.596,8883,128.1416,0.78006,37,6.948445,9.210693903,208.2480325,6506.203906,44229.44
Cambodia,122,0,2308,451,16718.965,51.20651046,70,11975,1620,23.4,0.742401,25.631,5602,124.8986,0.11823,17.2,16.718965,0,7.297102422,716.2524714,0
Mongolia,38,0,5922,1440,3278.29,50.53249028,152,7455,4132,68.4,0.129457,28.181,469,123.8266,0.13412,25.6,3.27829,0,11.59140894,2274.051411,0
Thailand,2947,54,7029,1795,69799.978,51.2368017,217,178083,7791,49.9,8.262606,40.102,35592,123.3069,0.78133,19.9,69.799978,0.773639212,42.22064368,2551.333182,18323.719
Georgia,517,6,2591,734,3989.167,52.25485542,281,14718,4289,58.6,0.595057,38.268,6483,121.7427,0.30104,28.8,3.989167,1.504073407,129.6009919,3689.492067,11605.416
Switzerland,29407,1716,37466,11708,8654.622,50.45430065,9818,266200,83716,73.8,1.587743,43.053,9889,118.8316,3.3743,25.7,8.654622,198.2755573,3397.837595,30758.13132,58353.453
Latvia,849,15,10461,4000,1886.198,54.07340312,784,57886,18171,68.1,0.386533,43.941,1949,118.3695,0.44292,37,1.886198,7.952505516,450.1118122,30689.24895,17667.845
Montenegro,322,7,11519,3123,628.066,50.66307979,382,6864,8703,66.8,9.40E-02,38.8,1877,110.5984,0.374,45.9,0.628066,11.14532549,512.6849726,10928.78774,21739.13
Serbia,6630,125,8921,3020,8737.371,51.13593872,491,85645,7397,56.1,1.614935,41.575,1497,110.1912,0.93022,38.9,8.737371,14.30636286,758.8094863,9802.14758,18853.695
Poland,12640,624,15338,4578,37846.611,51.70690302,797,338027,14901,60.1,6.643035,41.678,18258,107.1989,0.96538,28,37.846611,16.48760572,333.9797056,8931.499838,49367.089
Austria,15402,580,34911,12284,9006.398,50.96886151,4536,256399,50022,58.3,1.689503,43.483,29460,105.5004,3.08695,29.6,9.006398,64.39866415,1710.11763,28468.53981,37657.447
Denmark,9206,443,44360,18262,5792.202,50.26241155,5497,193165,59795,87.9,1.139666,42.298,11743,104.0118,2.87125,19.1,5.792202,76.48213926,1589.378271,33349.1477,48120.791
Honduras,738,66,4848,821,9904.607,50.13976687,177,3643,2548,57.1,0.449714,24.344,851,102.1408,1.50E-02,2,9.904607,6.663565753,74.51078069,367.8086369,89430.894
Kyrgyzstan,729,8,4034,828,6524.195,50.41428499,92,51472,1292,36.4,0.283349,26.034,4568,101.1224,0.10903,26.5,6.524195,1.226204919,111.7379232,7889.402447,10973.937
Croatia,2062,67,16231,5177,4105.267,51.79629127,852,36221,14949,56.9,0.849795,44.291,15593,101.0882,0.84581,37,4.105267,16.32049755,502.2815812,8823.055845,32492.726
